Driver,DriverNumber,Team,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,LapStartTime,Year,Event,Session,LapTime_sec,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,QualiSegment,IsPushLap,CircuitName,Country,TrackType,Altitude_m,DRSZones,LapSpeedClass,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m
NOR,4,McLaren,,10,,0 days 00:00:43.583000,0 days 00:00:31.617000,SOFT,1,TRUE,3,186,119,288,146,1,FALSE,0 days 00:34:07.904000,2025,Miami Grand Prix,Q,,0 days 00:42:23.746000,27.5,65,1013.4,FALSE,38.7,116,3.1,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
DOO,7,Alpine,,10,,0 days 00:00:39.869000,0 days 00:00:30.341000,SOFT,1,TRUE,4,136,138,285,121,1,FALSE,0 days 00:33:55.715000,2025,Miami Grand Prix,Q,,0 days 00:42:31.493000,27.5,65,1013.4,FALSE,38.7,116,3.1,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
BOR,5,Alfa Romeo,0 days 00:01:27.151000,11,0 days 00:00:28.808000,0 days 00:00:33.309000,0 days 00:00:25.034000,SOFT,2,TRUE,4,225,192,286,339,1,TRUE,0 days 00:41:06.753000,2025,Miami Grand Prix,Q,87.151,0 days 00:42:33.904000,27.5,65,1013.4,FALSE,38.7,116,3.1,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
SAI,55,Williams,0 days 00:01:26.906000,10,0 days 00:00:28.805000,0 days 00:00:33.210000,0 days 00:00:24.891000,SOFT,2,TRUE,4,222,193,287,338,1,TRUE,0 days 00:41:14.160000,2025,Miami Grand Prix,Q,86.906,0 days 00:42:41.066000,27.5,65,1013.4,FALSE,38.7,116,3.1,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ANT,12,Mercedes,,9,,0 days 00:00:43.979000,0 days 00:00:31.319000,SOFT,1,TRUE,4,149,158,287,280,1,FALSE,0 days 00:32:05.150000,2025,Miami Grand Prix,Q,,0 days 00:42:44.910000,27.5,65,1013.4,FALSE,38.7,116,3.1,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
HAM,44,Ferrari,0 days 00:01:27.006000,11,0 days 00:00:28.759000,0 days 00:00:33.302000,0 days 00:00:24.945000,SOFT,5,FALSE,4,223,192,287,339,1,TRUE,0 days 00:41:21.843000,2025,Miami Grand Prix,Q,87.006,0 days 00:42:48.849000,27.5,65,1013.3,FALSE,38.7,104,2.8,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
RUS,63,Mercedes,,9,,0 days 00:00:47.633000,0 days 00:00:29.316000,SOFT,4,FALSE,4,140,121,286,303,1,FALSE,0 days 00:32:21.802000,2025,Miami Grand Prix,Q,,0 days 00:42:52.397000,27.5,65,1013.3,FALSE,38.7,104,2.8,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
LAW,30,Racing Bulls,0 days 00:01:27.754000,10,0 days 00:00:28.867000,0 days 00:00:33.594000,0 days 00:00:25.293000,SOFT,2,TRUE,4,223,191,268,326,1,TRUE,0 days 00:41:48.358000,2025,Miami Grand Prix,Q,87.754,0 days 00:43:16.112000,27.5,65,1013.3,FALSE,38.7,104,2.8,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ALB,23,Williams,0 days 00:01:26.855000,11,0 days 00:00:28.779000,0 days 00:00:33.225000,0 days 00:00:24.851000,SOFT,2,TRUE,4,224,192,284,334,1,TRUE,0 days 00:41:56.811000,2025,Miami Grand Prix,Q,86.855,0 days 00:43:23.666000,27.5,65,1013.3,FALSE,38.7,104,2.8,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
HAD,6,Racing Bulls,0 days 00:02:00.175000,10,0 days 00:00:41.936000,0 days 00:00:41.525000,0 days 00:00:36.714000,SOFT,2,TRUE,4,187,153,,258,1,FALSE,0 days 00:41:40.286000,2025,Miami Grand Prix,Q,120.175,0 days 00:43:40.461000,27.5,65,1013.3,FALSE,38.7,104,2.8,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
PIA,81,McLaren,0 days 00:01:26.269000,9,0 days 00:00:28.413000,0 days 00:00:33.032000,0 days 00:00:24.824000,SOFT,2,TRUE,3,226,192,286,333,1,TRUE,0 days 00:42:14.950000,2025,Miami Grand Prix,Q,86.269,0 days 00:43:41.219000,27.5,65,1013.3,FALSE,38.7,104,2.8,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
NOR,4,McLaren,0 days 00:01:26.499000,11,0 days 00:00:28.731000,0 days 00:00:32.985000,0 days 00:00:24.783000,SOFT,2,TRUE,3,221,194,285,334,1,TRUE,0 days 00:42:23.746000,2025,Miami Grand Prix,Q,86.499,0 days 00:43:50.245000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
VER,1,Red Bull Racing,0 days 00:02:03.999000,9,0 days 00:00:42.740000,0 days 00:00:47.996000,0 days 00:00:33.263000,SOFT,3,TRUE,3,138,127,,270,1,FALSE,0 days 00:41:54.704000,2025,Miami Grand Prix,Q,123.999,0 days 00:43:58.703000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
DOO,7,Alpine,0 days 00:01:27.313000,11,0 days 00:00:28.700000,0 days 00:00:33.527000,0 days 00:00:25.086000,SOFT,2,TRUE,4,219,190,286,337,1,TRUE,0 days 00:42:31.493000,2025,Miami Grand Prix,Q,87.313,0 days 00:43:58.806000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ANT,12,Mercedes,0 days 00:01:26.606000,10,0 days 00:00:28.552000,0 days 00:00:33.218000,0 days 00:00:24.836000,SOFT,2,TRUE,4,222,191,285,338,1,TRUE,0 days 00:42:44.910000,2025,Miami Grand Prix,Q,86.606,0 days 00:44:11.516000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
OCO,31,Haas,0 days 00:02:01.505000,12,0 days 00:00:41.887000,0 days 00:00:43.323000,0 days 00:00:36.295000,SOFT,3,TRUE,4,195,172,,235,1,FALSE,0 days 00:42:12.184000,2025,Miami Grand Prix,Q,121.505,0 days 00:44:13.689000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
LEC,16,Ferrari,0 days 00:01:59.644000,12,0 days 00:00:37.509000,0 days 00:00:42.066000,0 days 00:00:40.069000,SOFT,3,TRUE,3,145,163,,150,1,FALSE,0 days 00:42:19.782000,2025,Miami Grand Prix,Q,119.644,0 days 00:44:19.426000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
RUS,63,Mercedes,0 days 00:01:27.160000,10,0 days 00:00:28.852000,0 days 00:00:33.413000,0 days 00:00:24.895000,SOFT,5,FALSE,4,220,193,284,338,1,TRUE,0 days 00:42:52.397000,2025,Miami Grand Prix,Q,87.16,0 days 00:44:19.557000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
BOR,5,Alfa Romeo,0 days 00:01:54.689000,12,0 days 00:00:35.055000,0 days 00:00:42.408000,0 days 00:00:37.226000,SOFT,3,TRUE,4,199,179,,254,1,FALSE,0 days 00:42:33.904000,2025,Miami Grand Prix,Q,114.689,0 days 00:44:28.593000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
HAM,44,Ferrari,0 days 00:01:48.937000,12,0 days 00:00:36.846000,0 days 00:00:37.767000,0 days 00:00:34.324000,SOFT,6,FALSE,4,198,163,,246,1,FALSE,0 days 00:42:48.849000,2025,Miami Grand Prix,Q,108.937,0 days 00:44:37.786000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
TSU,22,Red Bull Racing,,12,0 days 00:00:36.497000,0 days 00:00:48.752000,0 days 00:01:09.337000,SOFT,3,TRUE,4,140,128,,275,1,FALSE,0 days 00:42:04.684000,2025,Miami Grand Prix,Q,,0 days 00:44:39.397000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
SAI,55,Williams,0 days 00:02:03.173000,11,0 days 00:00:44.369000,0 days 00:00:41.741000,0 days 00:00:37.063000,SOFT,3,TRUE,4,185,138,,236,1,FALSE,0 days 00:42:41.066000,2025,Miami Grand Prix,Q,123.173,0 days 00:44:44.239000,27.5,65,1013.5,FALSE,39.2,43,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
LAW,30,Racing Bulls,0 days 00:01:48.201000,11,0 days 00:00:35.311000,0 days 00:00:39.380000,0 days 00:00:33.510000,SOFT,3,TRUE,4,188,169,,278,1,FALSE,0 days 00:43:16.112000,2025,Miami Grand Prix,Q,108.201,0 days 00:45:04.313000,27.5,65,1013.5,FALSE,39.6,101,1.1,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
PIA,81,McLaren,0 days 00:01:57.550000,10,0 days 00:00:37.502000,0 days 00:00:41.600000,0 days 00:00:38.448000,SOFT,3,TRUE,3,177,146,,200,1,FALSE,0 days 00:43:41.219000,2025,Miami Grand Prix,Q,117.55,0 days 00:45:38.769000,27.5,65,1013.5,FALSE,39.6,101,1.1,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
NOR,4,McLaren,0 days 00:01:55.261000,12,0 days 00:00:35.712000,0 days 00:00:40.754000,0 days 00:00:38.795000,SOFT,3,TRUE,3,200,166,,154,1,FALSE,0 days 00:43:50.245000,2025,Miami Grand Prix,Q,115.261,0 days 00:45:45.506000,27.5,65,1013.5,FALSE,39.6,101,1.1,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ALB,23,Williams,0 days 00:02:25.681000,12,0 days 00:00:38.911000,0 days 00:00:39.974000,0 days 00:01:06.796000,SOFT,3,TRUE,4,175,155,,288,1,FALSE,0 days 00:43:23.666000,2025,Miami Grand Prix,Q,145.681,0 days 00:45:49.347000,27.6,65,1013.4,FALSE,39.4,0,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
DOO,7,Alpine,0 days 00:01:56.614000,12,0 days 00:00:37.045000,0 days 00:00:41.350000,0 days 00:00:38.219000,SOFT,3,TRUE,4,177,135,,203,1,FALSE,0 days 00:43:58.806000,2025,Miami Grand Prix,Q,116.614,0 days 00:45:55.420000,27.6,65,1013.4,FALSE,39.4,0,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
RUS,63,Mercedes,0 days 00:01:45.451000,11,0 days 00:00:33.534000,0 days 00:00:38.285000,0 days 00:00:33.632000,SOFT,6,FALSE,4,200,164,,283,1,FALSE,0 days 00:44:19.557000,2025,Miami Grand Prix,Q,105.451,0 days 00:46:05.008000,27.6,65,1013.4,FALSE,39.4,0,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ANT,12,Mercedes,0 days 00:02:26.887000,11,0 days 00:00:35.975000,0 days 00:00:39.707000,0 days 00:01:11.205000,SOFT,3,TRUE,4,182,159,,248,1,FALSE,0 days 00:44:11.516000,2025,Miami Grand Prix,Q,146.887,0 days 00:46:38.403000,27.6,65,1013.4,FALSE,39.4,0,2,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
TSU,22,Red Bull Racing,,13,,0 days 00:00:42.527000,0 days 00:00:28.933000,SOFT,1,TRUE,5,153,128,285,263,1,FALSE,0 days 00:44:39.397000,2025,Miami Grand Prix,Q,,0 days 00:50:29.641000,27.5,65,1013.5,FALSE,39,112,3.4,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
OCO,31,Haas,,13,,0 days 00:00:41.937000,0 days 00:00:32.383000,SOFT,1,TRUE,5,194,145,283,207,1,FALSE,0 days 00:44:13.689000,2025,Miami Grand Prix,Q,,0 days 00:50:37.690000,27.5,65,1013.5,FALSE,39,112,3.4,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
BOR,5,Alfa Romeo,,13,,0 days 00:00:42.746000,0 days 00:00:30.967000,SOFT,1,TRUE,5,201,141,284,222,1,FALSE,0 days 00:44:28.593000,2025,Miami Grand Prix,Q,,0 days 00:50:45.638000,27.5,65,1013.5,FALSE,39,112,3.4,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
HAD,6,Racing Bulls,,11,,0 days 00:00:42.375000,0 days 00:00:31.452000,SOFT,1,TRUE,5,160,139,285,203,1,FALSE,0 days 00:43:40.461000,2025,Miami Grand Prix,Q,,0 days 00:51:00.361000,27.5,65,1013.4,FALSE,38.6,102,3.3,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
NOR,4,McLaren,,13,,0 days 00:00:43.431000,0 days 00:00:29.658000,SOFT,4,FALSE,4,166,131,284,225,1,FALSE,0 days 00:45:45.506000,2025,Miami Grand Prix,Q,,0 days 00:51:12.958000,27.5,65,1013.4,FALSE,38.6,102,3.3,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ANT,12,Mercedes,,12,,0 days 00:00:42.533000,0 days 00:00:32.503000,SOFT,1,TRUE,5,162,133,285,130,1,FALSE,0 days 00:46:38.403000,2025,Miami Grand Prix,Q,,0 days 00:51:20.035000,27.5,65,1013.4,FALSE,38.6,102,3.3,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
VER,1,Red Bull Racing,,10,,0 days 00:00:41.723000,0 days 00:00:27.956000,SOFT,4,FALSE,4,157,175,286,278,1,FALSE,0 days 00:43:58.703000,2025,Miami Grand Prix,Q,,0 days 00:51:27.332000,27.5,65,1013.4,FALSE,38.6,102,3.3,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
HAM,44,Ferrari,,13,,0 days 00:00:41.679000,0 days 00:00:30.933000,SOFT,1,TRUE,5,169,140,286,175,1,FALSE,0 days 00:44:37.786000,2025,Miami Grand Prix,Q,,0 days 00:51:32.717000,27.5,65,1013.4,FALSE,38.6,102,3.3,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
LEC,16,Ferrari,,13,,0 days 00:00:41.278000,0 days 00:00:29.618000,SOFT,1,TRUE,4,187,147,285,244,1,FALSE,0 days 00:44:19.426000,2025,Miami Grand Prix,Q,,0 days 00:51:40.265000,27.5,65,1013.4,FALSE,38.6,102,3.3,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
SAI,55,Williams,,12,,0 days 00:00:41.112000,0 days 00:00:29.006000,SOFT,1,TRUE,5,184,133,287,285,1,FALSE,0 days 00:44:44.239000,2025,Miami Grand Prix,Q,,0 days 00:51:47.804000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
TSU,22,Red Bull Racing,0 days 00:01:26.959000,14,0 days 00:00:28.603000,0 days 00:00:33.318000,0 days 00:00:25.038000,SOFT,2,TRUE,5,221,191,282,338,1,TRUE,0 days 00:50:29.641000,2025,Miami Grand Prix,Q,86.959,0 days 00:51:56.600000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
RUS,63,Mercedes,,12,,0 days 00:00:40.854000,0 days 00:00:27.576000,SOFT,1,TRUE,5,181,115,286,316,1,FALSE,0 days 00:46:05.008000,2025,Miami Grand Prix,Q,,0 days 00:51:59.795000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
OCO,31,Haas,0 days 00:01:26.967000,14,0 days 00:00:28.973000,0 days 00:00:33.136000,0 days 00:00:24.858000,SOFT,2,TRUE,5,224,193,285,337,1,TRUE,0 days 00:50:37.690000,2025,Miami Grand Prix,Q,86.967,0 days 00:52:04.657000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
DOO,7,Alpine,,13,,0 days 00:00:40.594000,0 days 00:00:27.135000,SOFT,1,TRUE,5,184,152,285,313,1,FALSE,0 days 00:45:55.420000,2025,Miami Grand Prix,Q,,0 days 00:52:10.177000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
BOR,5,Alfa Romeo,0 days 00:01:27.274000,14,0 days 00:00:29.033000,0 days 00:00:33.405000,0 days 00:00:24.836000,SOFT,2,TRUE,5,224,193,285,341,1,FALSE,0 days 00:50:45.638000,2025,Miami Grand Prix,Q,87.274,0 days 00:52:12.912000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
LAW,30,Racing Bulls,,12,,0 days 00:00:44.123000,0 days 00:00:29.586000,SOFT,1,TRUE,5,118,127,285,254,1,FALSE,0 days 00:45:04.313000,2025,Miami Grand Prix,Q,,0 days 00:52:20.612000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
HAD,6,Racing Bulls,0 days 00:01:26.987000,12,0 days 00:00:28.705000,0 days 00:00:33.422000,0 days 00:00:24.860000,SOFT,2,TRUE,5,221,192,284,338,1,TRUE,0 days 00:51:00.361000,2025,Miami Grand Prix,Q,86.987,0 days 00:52:27.348000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ALB,23,Williams,,13,,0 days 00:00:45.974000,0 days 00:00:32.835000,SOFT,1,TRUE,5,199,87,286,269,1,FALSE,0 days 00:45:49.347000,2025,Miami Grand Prix,Q,,0 days 00:52:29.488000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
NOR,4,McLaren,0 days 00:01:26.724000,14,0 days 00:00:28.691000,0 days 00:00:33.233000,0 days 00:00:24.800000,SOFT,5,FALSE,4,222,190,280,336,1,FALSE,0 days 00:51:12.958000,2025,Miami Grand Prix,Q,86.724,0 days 00:52:39.682000,27.5,66,1013.5,FALSE,38.4,117,3.4,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ANT,12,Mercedes,0 days 00:01:26.809000,13,0 days 00:00:28.645000,0 days 00:00:33.334000,0 days 00:00:24.830000,SOFT,2,TRUE,5,223,193,284,340,1,FALSE,0 days 00:51:20.035000,2025,Miami Grand Prix,Q,86.809,0 days 00:52:46.844000,27.4,66,1013.5,FALSE,38.3,137,3.2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
VER,1,Red Bull Racing,0 days 00:01:26.654000,11,0 days 00:00:28.339000,0 days 00:00:33.405000,0 days 00:00:24.910000,SOFT,5,FALSE,4,220,190,285,339,1,FALSE,0 days 00:51:27.332000,2025,Miami Grand Prix,Q,86.654,0 days 00:52:53.986000,27.4,66,1013.5,FALSE,38.3,137,3.2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
HAM,44,Ferrari,0 days 00:01:27.561000,14,0 days 00:00:28.804000,0 days 00:00:33.503000,0 days 00:00:25.254000,SOFT,2,TRUE,5,223,194,281,341,1,FALSE,0 days 00:51:32.717000,2025,Miami Grand Prix,Q,87.561,0 days 00:53:00.278000,27.4,66,1013.5,FALSE,38.3,137,3.2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
LEC,16,Ferrari,0 days 00:01:27.096000,14,0 days 00:00:28.874000,0 days 00:00:33.416000,0 days 00:00:24.806000,SOFT,2,TRUE,4,217,193,285,339,1,FALSE,0 days 00:51:40.265000,2025,Miami Grand Prix,Q,87.096,0 days 00:53:07.361000,27.4,66,1013.5,FALSE,38.3,137,3.2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
SAI,55,Williams,0 days 00:01:26.847000,13,0 days 00:00:28.803000,0 days 00:00:33.277000,0 days 00:00:24.767000,SOFT,2,TRUE,5,223,192,286,338,1,TRUE,0 days 00:51:47.804000,2025,Miami Grand Prix,Q,86.847,0 days 00:53:14.651000,27.4,66,1013.5,FALSE,38.3,137,3.2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
RUS,63,Mercedes,0 days 00:01:26.575000,13,0 days 00:00:28.510000,0 days 00:00:33.278000,0 days 00:00:24.787000,SOFT,2,TRUE,5,224,193,285,338,1,TRUE,0 days 00:51:59.795000,2025,Miami Grand Prix,Q,86.575,0 days 00:53:26.370000,27.4,66,1013.5,FALSE,38.3,137,3.2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
DOO,7,Alpine,0 days 00:01:27.186000,14,0 days 00:00:28.643000,0 days 00:00:33.520000,0 days 00:00:25.023000,SOFT,2,TRUE,5,219,190,285,337,1,TRUE,0 days 00:52:10.177000,2025,Miami Grand Prix,Q,87.186,0 days 00:53:37.363000,27.4,66,1013.5,FALSE,38.3,137,3.2,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
LAW,30,Racing Bulls,0 days 00:01:27.363000,13,0 days 00:00:28.855000,0 days 00:00:33.557000,0 days 00:00:24.951000,SOFT,2,TRUE,5,221,191,284,336,1,TRUE,0 days 00:52:20.612000,2025,Miami Grand Prix,Q,87.363,0 days 00:53:47.975000,27.5,66,1013.6,FALSE,38.7,109,2.9,Q2,1,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
TSU,22,Red Bull Racing,0 days 00:02:01.896000,15,0 days 00:00:40.141000,0 days 00:00:46.031000,0 days 00:00:35.724000,SOFT,3,TRUE,5,128,86,,265,1,FALSE,0 days 00:51:56.600000,2025,Miami Grand Prix,Q,121.896,0 days 00:53:58.496000,27.5,66,1013.6,FALSE,38.7,109,2.9,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
OCO,31,Haas,0 days 00:02:03.037000,15,0 days 00:00:37.326000,0 days 00:00:44.778000,0 days 00:00:40.933000,SOFT,3,TRUE,5,197,154,,201,1,FALSE,0 days 00:52:04.657000,2025,Miami Grand Prix,Q,123.037,0 days 00:54:07.694000,27.5,66,1013.6,FALSE,38.7,109,2.9,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
BOR,5,Alfa Romeo,0 days 00:02:03.324000,15,0 days 00:00:39.878000,0 days 00:00:45.791000,0 days 00:00:37.655000,SOFT,3,TRUE,5,201,162,,216,1,FALSE,0 days 00:52:12.912000,2025,Miami Grand Prix,Q,123.324,0 days 00:54:16.236000,27.5,66,1013.6,FALSE,38.7,109,2.9,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ALB,23,Williams,0 days 00:01:50.877000,14,0 days 00:00:28.795000,0 days 00:00:42.560000,0 days 00:00:39.522000,SOFT,2,TRUE,5,223,131,,247,1,FALSE,0 days 00:52:29.488000,2025,Miami Grand Prix,Q,110.877,0 days 00:54:20.365000,27.5,66,1013.6,FALSE,38.7,109,2.9,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
HAD,6,Racing Bulls,,13,0 days 00:00:42.034000,0 days 00:00:42.970000,,SOFT,3,TRUE,5,169,142,,209,1,FALSE,0 days 00:52:27.348000,2025,Miami Grand Prix,Q,,0 days 00:54:26.064000,27.5,66,1013.6,FALSE,38.7,109,2.9,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
NOR,4,McLaren,0 days 00:01:54.944000,15,0 days 00:00:34.478000,0 days 00:00:39.427000,0 days 00:00:41.039000,SOFT,6,FALSE,4,192,145,,206,1,FALSE,0 days 00:52:39.682000,2025,Miami Grand Prix,Q,114.944,0 days 00:54:34.626000,27.5,66,1013.6,FALSE,38.7,109,2.9,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
ANT,12,Mercedes,0 days 00:01:54.445000,14,0 days 00:00:38.101000,0 days 00:00:40.336000,0 days 00:00:36.008000,SOFT,3,TRUE,5,188,158,,236,1,FALSE,0 days 00:52:46.844000,2025,Miami Grand Prix,Q,114.445,0 days 00:54:41.289000,27.5,66,1013.6,FALSE,38.7,109,2.9,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
VER,1,Red Bull Racing,0 days 00:01:48.433000,12,0 days 00:00:33.433000,0 days 00:00:40.231000,0 days 00:00:34.769000,SOFT,6,FALSE,4,199,182,,229,1,FALSE,0 days 00:52:53.986000,2025,Miami Grand Prix,Q,108.433,0 days 00:54:42.419000,27.5,66,1013.6,FALSE,38.7,109,2.9,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
HAM,44,Ferrari,0 days 00:02:05.519000,15,0 days 00:00:41.433000,0 days 00:00:43.155000,0 days 00:00:40.931000,SOFT,3,TRUE,5,142,144,,234,1,FALSE,0 days 00:53:00.278000,2025,Miami Grand Prix,Q,125.519,0 days 00:55:05.797000,27.5,65,1013.6,FALSE,38.8,112,2.8,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
LEC,16,Ferrari,0 days 00:01:59.773000,15,0 days 00:00:38.010000,0 days 00:00:41.992000,0 days 00:00:39.771000,SOFT,3,TRUE,4,178,160,,197,1,FALSE,0 days 00:53:07.361000,2025,Miami Grand Prix,Q,119.773,0 days 00:55:07.134000,27.5,65,1013.6,FALSE,38.8,112,2.8,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
SAI,55,Williams,0 days 00:02:00.138000,14,0 days 00:00:40.867000,0 days 00:00:42.371000,0 days 00:00:36.900000,SOFT,3,TRUE,5,176,145,,236,1,FALSE,0 days 00:53:14.651000,2025,Miami Grand Prix,Q,120.138,0 days 00:55:14.789000,27.5,65,1013.6,FALSE,38.8,112,2.8,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
RUS,63,Mercedes,0 days 00:02:00.415000,14,0 days 00:00:42.193000,0 days 00:00:41.393000,0 days 00:00:36.829000,SOFT,3,TRUE,5,171,142,,267,1,FALSE,0 days 00:53:26.370000,2025,Miami Grand Prix,Q,120.415,0 days 00:55:26.785000,27.5,65,1013.6,FALSE,38.8,112,2.8,Q2,0,Miami,USA,Street,3,3,Medium,5412,19,0.003510717,284.8421053
